category_norm,jury_president_name,jury_role,affinity_summary,affinity_1,affinity_2,affinity_3,affinity_4,watchout,trayectoria,filosofia,sesgos,insights,implicaciones
Health & Wellness,Eric Weisberg,Jury President,"Reducir miedo, complejidad y distancia en temas de salud. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Reducir miedo, complejidad y distancia en temas de salud. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","En salud, la creatividad puede ser intervención: ayuda a diagnosticar, prevenir, acompañar o activar una decisión.","Diseñar con expertos, pacientes y cuidadores; probar comprensión y medir cambio de conocimiento, acceso o conducta.","Global Chief Creative Officer, Havas Health Network, Global. Trayectoria vinculada a salud, bienestar, prevención, comportamiento y comunicación regulada. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer reducir miedo, complejidad y distancia en temas de salud; penaliza dramatización irresponsable, claims sin soporte y lenguaje médico inaccesible. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Global Chief Creative Officer, Havas Health Network, Global. Trayectoria vinculada a salud, bienestar, prevención, comportamiento y comunicación regulada. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Reducir miedo, complejidad y distancia en temas de salud. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer reducir miedo, complejidad y distancia en temas de salud; penaliza dramatización irresponsable, claims sin soporte y lenguaje médico inaccesible. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","En salud, la creatividad puede ser intervención: ayuda a diagnosticar, prevenir, acompañar o activar una decisión.","Diseñar con expertos, pacientes y cuidadores; probar comprensión y medir cambio de conocimiento, acceso o conducta."
Lions Health Grand Prix for Good,David Ohana,Jury President,"Credibilidad, claridad moral y eficacia práctica. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Credibilidad, claridad moral y eficacia práctica. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.",En salud pública la credibilidad es parte de la creatividad: la idea debe generar confianza para actuar.,"Vincular campañas a expertos, datos verificables y mecanismos claros; medir donaciones, prevención, acceso o política pública.","Senior humanitarian and global communications leader. Trayectoria vinculada a salud pública, causas humanitarias, comunicación institucional y movilización. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer credibilidad, claridad moral y eficacia práctica; penaliza shock sin solución, oportunismo y storytelling que victimiza. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Senior humanitarian and global communications leader. Trayectoria vinculada a salud pública, causas humanitarias, comunicación institucional y movilización. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Credibilidad, claridad moral y eficacia práctica. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer credibilidad, claridad moral y eficacia práctica; penaliza shock sin solución, oportunismo y storytelling que victimiza. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.",En salud pública la credibilidad es parte de la creatividad: la idea debe generar confianza para actuar.,"Vincular campañas a expertos, datos verificables y mecanismos claros; medir donaciones, prevención, acceso o política pública."
Pharma,Franklin Williams,Jury President,"Traducir ciencia compleja en experiencia humana útil. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Traducir ciencia compleja en experiencia humana útil. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Pharma ganador resuelve una barrera: comprensión, adherencia, diagnóstico, conversación médico-paciente o acceso.","Mapear journey paciente/médico, alinear legal/regulatorio desde el inicio y medir outcomes educativos/conductuales.","EVP, Executive Experience Director, AREA 23, an IPG Health company, USA. Trayectoria vinculada a pharma, experiencia de paciente, regulación, ciencia y comunicación clínica. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer traducir ciencia compleja en experiencia humana útil; penaliza exageración, claims débiles y storytelling que sacrifica precisión. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","EVP, Executive Experience Director, AREA 23, an IPG Health company, USA. Trayectoria vinculada a pharma, experiencia de paciente, regulación, ciencia y comunicación clínica. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Traducir ciencia compleja en experiencia humana útil. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer traducir ciencia compleja en experiencia humana útil; penaliza exageración, claims débiles y storytelling que sacrifica precisión. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Pharma ganador resuelve una barrera: comprensión, adherencia, diagnóstico, conversación médico-paciente o acceso.","Mapear journey paciente/médico, alinear legal/regulatorio desde el inicio y medir outcomes educativos/conductuales."
Creative Effectiveness,Andrea Diquez,Jury President,"Probar que la valentía creativa genera negocio. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Probar que la valentía creativa genera negocio. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.",La creatividad efectiva no siempre es segura; el crecimiento puede venir de romper categoría y demostrar impacto.,"Definir KPIs desde el brief, baseline, evidencia causal y resultados de marca/negocio/comportamiento.","Global CEO, GUT, Global. Trayectoria vinculada a efectividad, crecimiento, construcción de marca y medición de negocio. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer probar que la valentía creativa genera negocio; penaliza métricas seleccionadas a conveniencia, resultados por inversión y falta de causalidad. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Global CEO, GUT, Global. Trayectoria vinculada a efectividad, crecimiento, construcción de marca y medición de negocio. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Probar que la valentía creativa genera negocio. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer probar que la valentía creativa genera negocio; penaliza métricas seleccionadas a conveniencia, resultados por inversión y falta de causalidad. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.",La creatividad efectiva no siempre es segura; el crecimiento puede venir de romper categoría y demostrar impacto.,"Definir KPIs desde el brief, baseline, evidencia causal y resultados de marca/negocio/comportamiento."
Creative Strategy,Patricia McDonald,Jury President,"Encontrar tensiones humanas/culturales que hagan inevitable la idea. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Encontrar tensiones humanas/culturales que hagan inevitable la idea. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.",La estrategia ganadora hace que la solución creativa se sienta necesaria después de ver el problema.,"Fortalecer briefs con problema de negocio, tensión cultural, rol de marca y criterio de éxito.","Global Chief Strategy Officer, Dentsu Creative, Global. Trayectoria vinculada a estrategia, insights culturales, marca, audiencia y efectividad. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer encontrar tensiones humanas/culturales que hagan inevitable la idea; penaliza research descriptivo, insights genéricos y estrategia que solo justifica ejecución. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Global Chief Strategy Officer, Dentsu Creative, Global. Trayectoria vinculada a estrategia, insights culturales, marca, audiencia y efectividad. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Encontrar tensiones humanas/culturales que hagan inevitable la idea. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer encontrar tensiones humanas/culturales que hagan inevitable la idea; penaliza research descriptivo, insights genéricos y estrategia que solo justifica ejecución. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.",La estrategia ganadora hace que la solución creativa se sienta necesaria después de ver el problema.,"Fortalecer briefs con problema de negocio, tensión cultural, rol de marca y criterio de éxito."
Titanium,Judy John,Jury President,"Cambiar reglas del juego más allá de una categoría. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Cambiar reglas del juego más allá de una categoría. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Titanium pregunta qué cambió después de que la idea existió: nuevo comportamiento, plataforma, modelo o estándar.","Buscar apuestas transformadoras: productos, plataformas, movimientos o modelos; probar adopción, escala, influencia y legado.","Global Chief Creative Officer, Edelman, Global. Trayectoria vinculada a creatividad transformadora, reputación, earned, cultura y nuevos estándares. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer cambiar reglas del juego más allá de una categoría; penaliza casos excelentes pero convencionales y campañas que solo combinan muchas categorías. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Global Chief Creative Officer, Edelman, Global. Trayectoria vinculada a creatividad transformadora, reputación, earned, cultura y nuevos estándares. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Cambiar reglas del juego más allá de una categoría. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer cambiar reglas del juego más allá de una categoría; penaliza casos excelentes pero convencionales y campañas que solo combinan muchas categorías. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Titanium pregunta qué cambió después de que la idea existió: nuevo comportamiento, plataforma, modelo o estándar.","Buscar apuestas transformadoras: productos, plataformas, movimientos o modelos; probar adopción, escala, influencia y legado."
Young Lions Print Competition,Marcelo Bruzzesi,Jury President,"Claridad conceptual bajo presión. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Claridad conceptual bajo presión. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","En Young Lions, pensamiento vence presupuesto: una pieza simple e inevitable puede superar una ejecución elaborada.","Entrenar briefs cronometrados, reducción de mensajes, jerarquía visual y lectura en 3 segundos.","Regional Executive Creative Director, Havas LATAM. Trayectoria vinculada a talento joven, ideación rápida, dirección de arte y síntesis impresa. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer claridad conceptual bajo presión; penaliza exceso de elementos, craft para ocultar idea débil y poca respuesta al brief. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Regional Executive Creative Director, Havas LATAM. Trayectoria vinculada a talento joven, ideación rápida, dirección de arte y síntesis impresa. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Claridad conceptual bajo presión. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer claridad conceptual bajo presión; penaliza exceso de elementos, craft para ocultar idea débil y poca respuesta al brief. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","En Young Lions, pensamiento vence presupuesto: una pieza simple e inevitable puede superar una ejecución elaborada.","Entrenar briefs cronometrados, reducción de mensajes, jerarquía visual y lectura en 3 segundos."
Young Lions PR Competition,Margaret Key,Jury President,"Convertir tensión cultural en acción y titular. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Convertir tensión cultural en acción y titular. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","PR se gana antes de ejecutarse: si el titular no interesa, difícilmente habrá conversación.","Practicar headlines, stakeholders, riesgo reputacional, prueba de impacto y difusión orgánica.","CEO APAC, MSL. Trayectoria vinculada a talento joven en PR, reputación, earned media y narrativa noticiable. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer convertir tensión cultural en acción y titular; penaliza comunicados disfrazados de campaña, acciones sin noticia y difusión poco creíble. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","CEO APAC, MSL. Trayectoria vinculada a talento joven en PR, reputación, earned media y narrativa noticiable. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Convertir tensión cultural en acción y titular. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer convertir tensión cultural en acción y titular; penaliza comunicados disfrazados de campaña, acciones sin noticia y difusión poco creíble. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","PR se gana antes de ejecutarse: si el titular no interesa, difícilmente habrá conversación.","Practicar headlines, stakeholders, riesgo reputacional, prueba de impacto y difusión orgánica."
Young Lions Media Competition,Amanda Morrissey,Jury President,"El canal como parte de la idea. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","El canal como parte de la idea. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Media no es dónde poner la campaña, sino cómo entrar en la vida de la audiencia en el momento relevante.","Planear por momentos, journey, atención e incrementalidad; priorizar menos canales con lógica más fuerte.","Global President and Chief Growth Officer, iProspect, dentsu. Trayectoria vinculada a talento joven en medios, growth, performance y planeación omnicanal. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer el canal como parte de la idea; penaliza planes genéricos, dispersión de canales y targeting superficial. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Global President and Chief Growth Officer, iProspect, dentsu. Trayectoria vinculada a talento joven en medios, growth, performance y planeación omnicanal. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","El canal como parte de la idea. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer el canal como parte de la idea; penaliza planes genéricos, dispersión de canales y targeting superficial. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Media no es dónde poner la campaña, sino cómo entrar en la vida de la audiencia en el momento relevante.","Planear por momentos, journey, atención e incrementalidad; priorizar menos canales con lógica más fuerte."
Young Lions Marketers Competition,Sandra Amachree,Jury President,"Creatividad defendible ante dirección y viable en mercado. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Creatividad defendible ante dirección y viable en mercado. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Un marketer compra crecimiento, diferenciación y riesgo calculado; la creatividad debe poder venderse internamente.","Presentar racional de negocio, KPIs, presupuesto, riesgos y plan de implementación.","Head of Communications - Marketing, HEINEKEN Nigeria. Trayectoria vinculada a talento joven del lado cliente, comunicación de marca y negocio. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer creatividad defendible ante dirección y viable en mercado; penaliza ideas sin factibilidad, presupuestos irreales y ausencia de objetivo comercial. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Head of Communications - Marketing, HEINEKEN Nigeria. Trayectoria vinculada a talento joven del lado cliente, comunicación de marca y negocio. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Creatividad defendible ante dirección y viable en mercado. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer creatividad defendible ante dirección y viable en mercado; penaliza ideas sin factibilidad, presupuestos irreales y ausencia de objetivo comercial. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Un marketer compra crecimiento, diferenciación y riesgo calculado; la creatividad debe poder venderse internamente.","Presentar racional de negocio, KPIs, presupuesto, riesgos y plan de implementación."
Young Lions Film Competition,Frank Cartagena,Jury President,"Historia clara, filmable y emocionalmente eficaz. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Historia clara, filmable y emocionalmente eficaz. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","El film más fuerte puede contarse en una frase; si el conflicto y cierre se recuerdan, compite.","Entrenar guion breve, storyboard y pitch audiovisual con una emoción central y un cierre de marca.","Chief Executive Officer, MullenLowe U.S.. Trayectoria vinculada a talento joven, liderazgo de agencia y storytelling audiovisual. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer historia clara, filmable y emocionalmente eficaz; penaliza manifiestos, exceso de escenas y producciones imposibles. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Chief Executive Officer, MullenLowe U.S.. Trayectoria vinculada a talento joven, liderazgo de agencia y storytelling audiovisual. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Historia clara, filmable y emocionalmente eficaz. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer historia clara, filmable y emocionalmente eficaz; penaliza manifiestos, exceso de escenas y producciones imposibles. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","El film más fuerte puede contarse en una frase; si el conflicto y cierre se recuerdan, compite.","Entrenar guion breve, storyboard y pitch audiovisual con una emoción central y un cierre de marca."
Young Lions Digital Competition,Firas Ghannam,Jury President,"Interactividad necesaria, no tecnología por moda. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Interactividad necesaria, no tecnología por moda. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.",Digital gana cuando reduce fricción o aumenta participación en hábitos existentes de la audiencia.,"Prototipar journeys simples, elegir plataformas nativas y medir utilidad, recurrencia y compartibilidad.","Executive Creative Director, VML. Trayectoria vinculada a talento joven digital, experiencias, social, activación y creatividad integrada. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer interactividad necesaria, no tecnología por moda; penaliza apps innecesarias, micrositios vacíos, IA decorativa y mecánicas que nadie usaría. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Executive Creative Director, VML. Trayectoria vinculada a talento joven digital, experiencias, social, activación y creatividad integrada. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Interactividad necesaria, no tecnología por moda. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer interactividad necesaria, no tecnología por moda; penaliza apps innecesarias, micrositios vacíos, IA decorativa y mecánicas que nadie usaría. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.",Digital gana cuando reduce fricción o aumenta participación en hábitos existentes de la audiencia.,"Prototipar journeys simples, elegir plataformas nativas y medir utilidad, recurrencia y compartibilidad."
Young Lions Design Competition,Michael Wilk,Jury President,"Diseño que resuelve con claridad y carácter. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Diseño que resuelve con claridad y carácter. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Diseño joven debe demostrar reconocimiento inmediato y capacidad de vivir como sistema, no solo como póster bonito.","Entrenar identidad, tipografía, composición y reglas visuales; presentar sistemas aplicables.","Global Head of Art, Serviceplan Group. Trayectoria vinculada a talento joven, dirección de arte, craft visual y sistemas gráficos. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer diseño que resuelve con claridad y carácter; penaliza estilos prestados, diseño ornamental y falta de sistema. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Global Head of Art, Serviceplan Group. Trayectoria vinculada a talento joven, dirección de arte, craft visual y sistemas gráficos. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Diseño que resuelve con claridad y carácter. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer diseño que resuelve con claridad y carácter; penaliza estilos prestados, diseño ornamental y falta de sistema. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Diseño joven debe demostrar reconocimiento inmediato y capacidad de vivir como sistema, no solo como póster bonito.","Entrenar identidad, tipografía, composición y reglas visuales; presentar sistemas aplicables."
